City,State,Population
New York,New York,8405837
Los Angeles,California,3884307
Chicago,Illinois,2718782
Houston,Texas,2195914
Philadelphia,Pennsylvania,1553165
Phoenix,Arizona,1513367
San Antonio,Texas,1409019
San Diego,California,1355896
Dallas,Texas,1257676
San Jose,California,998537
Austin,Texas,885400
Indianapolis,Indiana,843393
Jacksonville,Florida,842583
San Francisco,California,837442
Columbus,Ohio,822553
Charlotte,North Carolina,792862
Fort Worth,Texas,792727
Detroit,Michigan,688701
El Paso,Texas,674433
Memphis,Tennessee,653450
Seattle,Washington,652405
Denver,Colorado,649495
Washington,District of Columbia,646449
Boston,Massachusetts,645966
Nashville-Davidson,Tennessee,634464
Baltimore,Maryland,622104
Oklahoma City,Oklahoma,610613
Louisville/Jefferson County,Kentucky,609893
Portland,Oregon,609456
Las Vegas,Nevada,603488
Milwaukee,Wisconsin,599164
Albuquerque,New Mexico,556495
Tucson,Arizona,526116
Fresno,California,509924
Sacramento,California,479686
Long Beach,California,469428
Kansas City,Missouri,467007
Mesa,Arizona,457587
Virginia Beach,Virginia,448479
Atlanta,Georgia,447841
Colorado Springs,Colorado,439886
Omaha,Nebraska,434353
Raleigh,North Carolina,431746
Miami,Florida,417650
Oakland,California,406253
Minneapolis,Minnesota,400070
Tulsa,Oklahoma,398121
Cleveland,Ohio,390113
Wichita,Kansas,386552
Arlington,Texas,379577
New Orleans,Louisiana,378715
Bakersfield,California,363630
Tampa,Florida,352957
Honolulu,Hawaii,347884
Aurora,Colorado,345803
Anaheim,California,345012
Santa Ana,California,334227
St. Louis,Missouri,318416
Riverside,California,316619
Corpus Christi,Texas,316381
Lexington-Fayette,Kentucky,308428
Pittsburgh,Pennsylvania,305841
Anchorage,Alaska,300950
Stockton,California,298118
Cincinnati,Ohio,297517
St. Paul,Minnesota,294873
Toledo,Ohio,282313
Greensboro,North Carolina,279639
Newark,New Jersey,278427
Plano,Texas,274409
Henderson,Nevada,270811
Lincoln,Nebraska,268738
Buffalo,New York,258959
Jersey City,New Jersey,257342
Chula Vista,California,256780
Fort Wayne,Indiana,256496
Orlando,Florida,255483
St. Petersburg,Florida,249688
Chandler,Arizona,249146
Laredo,Texas,248142
Norfolk,Virginia,246139
Durham,North Carolina,245475
Madison,Wisconsin,243344
Lubbock,Texas,239538
Irvine,California,236716
Winston-Salem,North Carolina,236441
Glendale,Arizona,234632
Garland,Texas,234566
Hialeah,Florida,233394
Reno,Nevada,233294
Chesapeake,Virginia,230571
Gilbert,Arizona,229972
Baton Rouge,Louisiana,229426
Irving,Texas,228653
Scottsdale,Arizona,226918
North Las Vegas,Nevada,226877
Fremont,California,224922
Boise City,Idaho,214237
Richmond,Virginia,214114
San Bernardino,California,213708
Birmingham,Alabama,212113
Spokane,Washington,210721
Rochester,New York,210358
Des Moines,Iowa,207510
Modesto,California,204933
Fayetteville,North Carolina,204408
Tacoma,Washington,203446
Oxnard,California,203007
Fontana,California,203003
Columbus,Georgia,202824
Montgomery,Alabama,201332
Moreno Valley,California,201175
Shreveport,Louisiana,200327
Aurora,Illinois,199963
Yonkers,New York,199766
Akron,Ohio,198100
Huntington Beach,California,197575
Little Rock,Arkansas,197357
Augusta-Richmond County,Georgia,197350
Amarillo,Texas,196429
Glendale,California,196021
Mobile,Alabama,194899
Grand Rapids,Michigan,192294
Salt Lake City,Utah,191180
Tallahassee,Florida,186411
Huntsville,Alabama,186254
Grand Prairie,Texas,183372
Knoxville,Tennessee,183270
Worcester,Massachusetts,182544
Newport News,Virginia,182020
Brownsville,Texas,181860
Overland Park,Kansas,181260
Santa Clarita,California,179590
Providence,Rhode Island,177994
Garden Grove,California,175140
Chattanooga,Tennessee,173366
Oceanside,California,172794
Jackson,Mississippi,172638
Fort Lauderdale,Florida,172389
Santa Rosa,California,171990
Rancho Cucamonga,California,171386
Port St. Lucie,Florida,171016
Tempe,Arizona,168228
Ontario,California,167500
Vancouver,Washington,167405
Cape Coral,Florida,165831
Sioux Falls,South Dakota,164676
Springfield,Missouri,164122
Peoria,Arizona,162592
Pembroke Pines,Florida,162329
Elk Grove,California,161007
Salem,Oregon,160614
Lancaster,California,159523
Corona,California,159503
Eugene,Oregon,159190
Palmdale,California,157161
Salinas,California,155662
Springfield,Massachusetts,153703
Pasadena,Texas,152735
Fort Collins,Colorado,152061
Hayward,California,151574
Pomona,California,151348
Cary,North Carolina,151088
Rockford,Illinois,150251
Alexandria,Virginia,148892
Escondido,California,148738
McKinney,Texas,148559
Kansas City,Kansas,148483
Joliet,Illinois,147806
Sunnyvale,California,147559
Torrance,California,147478
Bridgeport,Connecticut,147216
Lakewood,Colorado,147214
Hollywood,Florida,146526
Paterson,New Jersey,145948
Naperville,Illinois,144864
Syracuse,New York,144669
Mesquite,Texas,143484
Dayton,Ohio,143355
Savannah,Georgia,142772
Clarksville,Tennessee,142357
Orange,California,139969
Pasadena,California,139731
Fullerton,California,138981
Killeen,Texas,137147
Frisco,Texas,136791
Hampton,Virginia,136699
McAllen,Texas,136639
Warren,Michigan,134873
Bellevue,Washington,133992
West Valley City,Utah,133579
Columbia,South Carolina,133358
Olathe,Kansas,131885
Sterling Heights,Michigan,131224
New Haven,Connecticut,130660
Miramar,Florida,130288
Waco,Texas,129030
Thousand Oaks,California,128731
Cedar Rapids,Iowa,128429
Charleston,South Carolina,127999
Visalia,California,127763
Topeka,Kansas,127679
Elizabeth,New Jersey,127558
Gainesville,Florida,127488
Thornton,Colorado,127359
Roseville,California,127035
Carrollton,Texas,126700
Coral Springs,Florida,126604
Stamford,Connecticut,126456
Simi Valley,California,126181
Concord,California,125880
Hartford,Connecticut,125017
Kent,Washington,124435
Lafayette,Louisiana,124276
Midland,Texas,123933
Surprise,Arizona,123546
Denton,Texas,123099
Victorville,California,121096
Evansville,Indiana,120310
Santa Clara,California,120245
Abilene,Texas,120099
Athens-Clarke County,Georgia,119980
Vallejo,California,118837
Allentown,Pennsylvania,118577
Norman,Oklahoma,118197
Beaumont,Texas,117796
Independence,Missouri,117240
Murfreesboro,Tennessee,117044
Ann Arbor,Michigan,117025
Springfield,Illinois,117006
Berkeley,California,116768
Peoria,Illinois,116513
Provo,Utah,116288
El Monte,California,115708
Columbia,Missouri,115276
Lansing,Michigan,113972
Fargo,North Dakota,113658
Downey,California,113242
Costa Mesa,California,112174
Wilmington,North Carolina,112067
Arvada,Colorado,111707
Inglewood,California,111542
Miami Gardens,Florida,111378
Carlsbad,California,110972
Westminster,Colorado,110945
Rochester,Minnesota,110742
Odessa,Texas,110720
Manchester,New Hampshire,110378
Elgin,Illinois,110145
West Jordan,Utah,110077
Round Rock,Texas,109821
Clearwater,Florida,109703
Waterbury,Connecticut,109676
Gresham,Oregon,109397
Fairfield,California,109320
Billings,Montana,109059
Lowell,Massachusetts,108861
San Buenaventura (Ventura),California,108817
Pueblo,Colorado,108249
High Point,North Carolina,107741
West Covina,California,107740
Richmond,California,107571
Murrieta,California,107479
Cambridge,Massachusetts,107289
Antioch,California,107100
Temecula,California,106780
Norwalk,California,106589
Centennial,Colorado,106114
Everett,Washington,105370
Palm Bay,Florida,104898
Wichita Falls,Texas,104898
Green Bay,Wisconsin,104779
Daly City,California,104739
Burbank,California,104709
Richardson,Texas,104475
Pompano Beach,Florida,104410
North Charleston,South Carolina,104054
Broken Arrow,Oklahoma,103500
Boulder,Colorado,103166
West Palm Beach,Florida,102436
Santa Maria,California,102216
El Cajon,California,102211
Davenport,Iowa,102157
Rialto,California,101910
Las Cruces,New Mexico,101324
San Mateo,California,101128
Lewisville,Texas,101074
South Bend,Indiana,100886
Lakeland,Florida,100710
Erie,Pennsylvania,100671
Tyler,Texas,100223
Pearland,Texas,100065
College Station,Texas,100050
Kenosha,Wisconsin,99889
Sandy Springs,Georgia,99770
Clovis,California,99769
Flint,Michigan,99763
Roanoke,Virginia,98465
Albany,New York,98424
Jurupa Valley,California,98030
Compton,California,97877
San Angelo,Texas,97492
Hillsboro,Oregon,97368
Lawton,Oklahoma,97151
Renton,Washington,97003
Vista,California,96929
Davie,Florida,96830
Greeley,Colorado,96539
Mission Viejo,California,96346
Portsmouth,Virginia,96205
Dearborn,Michigan,95884
South Gate,California,95677
Tuscaloosa,Alabama,95334
Livonia,Michigan,95208
New Bedford,Massachusetts,95078
Vacaville,California,94275
Brockton,Massachusetts,94089
Roswell,Georgia,94034
Beaverton,Oregon,93542
Quincy,Massachusetts,93494
Sparks,Nevada,93282
Yakima,Washington,93257
Lee's Summit,Missouri,93184
Federal Way,Washington,92734
Carson,California,92599
Santa Monica,California,92472
Hesperia,California,92147
Allen,Texas,92020
Rio Rancho,New Mexico,91956
Yuma,Arizona,91923
Westminster,California,91739
Orem,Utah,91648
Lynn,Massachusetts,91589
Redding,California,91119
Spokane Valley,Washington,91113
Miami Beach,Florida,91026
League City,Texas,90983
Lawrence,Kansas,90811
Santa Barbara,California,90412
Plantation,Florida,90268
Sandy,Utah,90231
Sunrise,Florida,90116
Macon,Georgia,89981
Longmont,Colorado,89919
Boca Raton,Florida,89407
San Marcos,California,89387
Greenville,North Carolina,89130
Waukegan,Illinois,88826
Fall River,Massachusetts,88697
Chico,California,88077
Newton,Massachusetts,87971
San Leandro,California,87965
Reading,Pennsylvania,87893
Norwalk,Connecticut,87776
Fort Smith,Arkansas,87650
Newport Beach,California,87273
Asheville,North Carolina,87236
Nashua,New Hampshire,87137
Edmond,Oklahoma,87004
Whittier,California,86635
Nampa,Idaho,86518
Bloomington,Minnesota,86319
Deltona,Florida,86290
Hawthorne,California,86199
Duluth,Minnesota,86128
Carmel,Indiana,85927
Suffolk,Virginia,85728
Clifton,New Jersey,85390
Citrus Heights,California,85285
Livermore,California,85156
Tracy,California,84691
Alhambra,California,84577
Kirkland,Washington,84430
Trenton,New Jersey,84349
Ogden,Utah,84249
Hoover,Alabama,84126
Cicero,Illinois,84103
Fishers,Indiana,83891
Sugar Land,Texas,83860
Danbury,Connecticut,83684
