City,State,Latitude,Longitude,01_Avg,02_Avg,03_Avg,04_Avg,05_Avg,06_Avg,07_Avg,08_Avg,09_Avg,10_Avg,11_Avg,12_Avg,Jan_temp,Jan_precip,Jan_humid,Jan_cloud,Feb_temp,Feb_precip,Feb_humid,Feb_cloud,Mar_temp,Mar_precip,Mar_humid,Mar_cloud,Apr_temp,Apr_precip,Apr_humid,Apr_cloud,May_temp,May_precip,May_humid,May_cloud,Jun_temp,Jun_precip,Jun_humid,Jun_cloud,Jul_temp,Jul_precip,Jul_humid,Jul_cloud,Aug_temp,Aug_precip,Aug_humid,Aug_cloud,Sep_temp,Sep_precip,Sep_humid,Sep_cloud,Oct_temp,Oct_precip,Oct_humid,Oct_cloud,Nov_temp,Nov_precip,Nov_humid,Nov_cloud,Dec_temp,Dec_precip,Dec_humid,Dec_cloud,Region4,Region9,Population
New York,New York,40.7127753,-74.0059728,4251,3548,3977,3818,4037,4330,4564,4796,4160,4448,3938,4057,35.0,3.6,66.53,4.0,38.8,2.9,67.19,1.9,40.5,3.5,58.6,2.2,52.5,4.0,64.2,2.1,63.1,5.6,67.82,9.0,71.9,4.7,65.44,4.3,78.4,8.4,68.04,11.6,77.0,4.2,69.83,6.5,71.7,2.3,71.6,6.5,61.3,3.7,72.01,3.9,46.2,2.8,66.21,7.5,39.6,3.7,68.37,3.1,Northeast,Middle Atlantic,8405837
Buffalo,New York,42.8864468,-78.8783689,207,179,160,159,191,170,170,206,180,207,191,211,26.3,4.0,67.72,24.6,27.8,3.0,64.61,0.7,30.2,3.2,58.02,1.7,40.6,4.5,64.43,8.8,55.8,4.7,64.81,23.9,65.4,3.2,62.01,22.4,73.1,3.0,62.01,15.9,71.4,3.4,59.25,17.5,66.0,4.1,62.95,19.8,54.0,4.9,61.63,24.1,36.9,4.0,59.9,28.1,33.2,3.7,62.94,26.2,Northeast,Middle Atlantic,258959
Yonkers,New York,40.9312099,-73.8987469,59,59,58,53,60,71,76,87,68,75,58,61,34.6,5.0,61.85,57.2,40.0,3.4,58.86,51.5,39.8,4.7,52.48,53.1,54.2,4.4,59.53,59.5,62.7,5.6,64.64,62.1,72.5,4.3,60.6,48.7,78.2,5.1,64.0,47.4,75.9,4.2,65.91,45.5,70.7,2.7,67.44,49.3,61.8,4.4,66.3,52.5,45.6,3.0,60.94,49.8,37.5,4.7,62.89,56.6,Northeast,Middle Atlantic,199766
Albany,New York,42.65257929999999,-73.7562317,54,51,66,62,70,78,71,79,59,63,72,66,26.2,3.4,64.66,74.8,31.6,3.0,63.89,75.0,33.8,2.9,57.01,68.4,48.1,3.8,59.81,76.0,59.9,3.5,64.43,79.1,68.1,4.4,63.8,68.3,74.4,4.2,66.33,61.6,71.5,4.1,70.39,64.1,65.2,3.6,72.11,64.3,54.2,4.7,71.3,72.1,37.8,3.4,65.85,76.6,29.5,3.3,68.3,74.4,Northeast,Middle Atlantic,98424
New Rochelle,New York,40.9114882,-73.78235490000002,31,27,31,27,30,39,45,50,38,38,29,41,33.6,5.5,64.04,43.5,37.3,2.6,63.27,27.9,38.6,4.0,52.36,27.8,51.7,4.6,64.84,33.5,61.2,5.8,65.09,43.8,70.7,3.9,63.13,38.5,76.8,4.3,65.14,35.7,74.4,3.5,66.47,34.9,69.4,4.3,70.89,39.2,59.1,4.2,68.65,39.2,44.3,4.4,62.27,40.0,37.0,4.9,63.37,38.5,Northeast,Middle Atlantic,79446
Mount Vernon,New York,40.9125992,-73.8370786,23,20,20,20,20,20,20,28,21,23,21,26,34.4,6.0,63.26,48.5,38.5,3.2,62.15,33.4,39.4,4.6,52.47,34.0,52.6,4.3,63.16,40.0,61.9,5.9,64.57,48.7,71.7,4.4,61.64,42.1,77.7,4.7,64.5,39.8,75.3,3.8,65.42,36.5,70.3,3.4,69.8,43.4,60.1,4.0,67.74,43.2,45.1,4.8,61.87,43.6,38.0,5.1,62.48,43.8,Northeast,Middle Atlantic,68224
Schenectady,New York,42.8142432,-73.93956870000002,155,128,169,166,194,223,223,234,218,204,181,188,26.2,3.2,64.96,73.6,31.6,2.9,64.15,73.6,33.8,2.8,57.28,66.9,48.1,3.7,60.05,75.0,59.9,3.6,64.69,77.3,68.0,4.5,64.16,66.1,74.4,4.3,66.57,59.7,71.4,4.0,70.7,61.7,65.2,3.6,72.45,61.2,54.2,4.6,71.7,70.7,37.7,3.4,66.41,75.1,29.3,3.2,68.97,72.4,Northeast,Middle Atlantic,65902
Utica,New York,43.100903,-75.232664,43,31,33,36,43,50,60,63,49,58,52,36,22.8,3.4,78.51,68.1,28.7,2.8,76.97,68.1,30.0,2.8,69.46,63.1,44.7,4.5,71.16,62.8,57.5,5.5,73.56,61.2,65.0,3.6,74.01,47.2,71.8,5.2,74.91,41.2,68.6,3.7,78.34,44.0,63.2,3.3,82.01,43.3,52.2,6.9,81.5,60.3,35.5,4.5,78.47,73.1,26.9,3.6,82.71,66.8,Northeast,Middle Atlantic,61808
White Plains,New York,41.0339862,-73.76290970000002,38,33,31,37,34,45,49,57,48,40,34,40,31.3,3.2,64.45,43.5,36.1,3.1,64.76,37.6,37.0,3.1,56.87,41.1,50.0,4.9,64.47,43.9,60.3,5.5,70.37,50.2,69.1,3.1,67.39,38.2,75.2,5.0,70.52,38.0,72.9,4.4,73.65,40.5,67.3,4.0,74.62,41.3,57.7,5.7,73.06,45.0,42.1,3.2,64.89,42.4,34.8,4.6,67.88,44.8,Northeast,Middle Atlantic,57866
Troy,New York,42.7284117,-73.69178509999998,31,19,27,21,34,27,36,40,39,35,29,29,26.3,3.2,64.51,75.0,31.7,2.9,63.69,75.3,33.8,2.8,56.89,68.6,48.1,3.8,59.64,76.2,60.0,3.6,64.34,79.4,68.1,4.5,63.83,68.8,74.4,4.3,66.35,61.9,71.5,4.0,70.38,64.3,65.2,3.6,72.07,64.5,54.3,4.6,71.16,72.3,37.9,3.4,65.77,76.9,29.5,3.2,68.22,74.7,Northeast,Middle Atlantic,49974
Niagara Falls,New York,43.0962143,-79.03773879999999,55,50,60,73,80,79,76,87,69,85,79,76,26.7,1.7,72.21,27.2,29.3,1.8,75.16,11.0,31.9,2.3,66.58,10.2,42.5,4.3,73.33,12.6,57.8,4.8,68.98,17.5,67.1,3.2,66.31,17.3,74.0,3.7,66.94,12.5,71.3,3.8,70.1,14.4,65.7,2.8,74.04,15.4,53.2,3.9,74.8,26.0,36.6,2.8,74.35,30.7,32.4,2.3,71.88,27.8,Northeast,Middle Atlantic,49468
Freeport,New York,40.65760220000001,-73.58318349999998,45,44,46,54,45,46,52,52,54,62,52,57,33.7,3.1,64.81,54.0,37.6,3.1,68.73,44.7,38.9,4.2,59.7,46.0,50.6,3.7,69.38,51.9,60.7,5.0,73.82,59.5,69.7,4.1,71.73,49.4,76.4,4.1,74.24,44.1,74.8,3.9,75.02,45.8,69.4,3.0,75.51,50.6,59.8,4.2,74.75,50.7,44.8,3.2,66.8,49.6,37.6,4.7,67.97,53.6,Northeast,Middle Atlantic,43167
Valley Stream,New York,40.664269899999994,-73.7084645,75,56,53,55,58,59,70,74,71,73,62,71,34.0,3.8,64.27,67.3,38.2,3.6,68.45,63.4,39.4,4.9,59.73,62.1,51.2,4.0,69.24,70.1,61.1,5.6,75.34,75.2,70.2,4.4,72.98,67.1,76.9,4.9,75.63,61.6,75.4,3.6,76.41,63.4,70.0,3.1,76.3,65.1,60.2,4.1,75.25,64.1,45.1,3.8,67.28,64.1,37.9,5.5,69.32,69.4,Northeast,Middle Atlantic,37659
Los Angeles,California,34.0522342,-118.24368490000002,2061,1984,2660,2667,2967,3083,2904,3085,2441,2668,2363,2361,58.1,5.1,64.29,33.3,56.8,3.0,63.6,40.3,60.7,1.7,63.05,33.1,63.5,0.1,62.68,30.7,63.5,0.4,68.66,51.0,67.9,0.0,70.96,48.1,74.1,0.0,67.58,20.5,74.3,0.0,68.87,23.0,72.9,0.0,66.56,28.0,70.4,0.2,56.49,20.1,64.1,1.2,59.53,22.7,58.8,2.3,54.64,16.9,West,Pacific,3884307
San Diego,California,32.715738,-117.1610838,959,1030,1341,1423,1587,1588,1506,1534,1300,1334,1165,1177,58.4,2.5,65.84,58.9,57.8,2.7,64.59,62.1,60.7,0.8,65.13,62.4,63.0,0.1,67.1,60.7,63.0,0.6,70.57,75.3,66.0,0.0,75.23,74.7,71.2,0.0,75.04,67.3,72.6,0.0,74.17,63.3,71.3,0.0,73.47,58.7,68.6,0.1,64.36,42.7,63.8,1.1,65.64,54.6,59.0,2.2,62.86,52.9,West,Pacific,1355896
San Jose,California,37.3382082,-121.88632859999998,446,489,725,804,866,831,780,808,694,698,631,567,52.2,3.9,76.44,65.8,52.5,3.8,68.04,57.7,55.8,2.4,69.41,59.4,59.7,1.0,66.04,54.1,61.8,0.5,67.63,56.0,67.8,0.0,62.74,33.4,69.7,0.0,65.55,27.5,70.0,0.0,67.86,38.1,68.8,0.0,61.43,32.7,63.7,0.1,56.74,28.6,57.0,1.4,66.28,51.3,52.0,1.2,70.06,53.1,West,Pacific,998537
San Francisco,California,37.7749295,-122.4194155,378,406,544,556,618,560,527,492,394,650,536,460,52.3,9.1,72.11,23.7,51.4,3.4,81.99,0.9,53.7,0.0,71.84,0.1,56.4,0.0,65.36,3.5,57.5,0.3,69.95,24.5,62.1,0.0,65.86,16.0,60.7,0.0,76.99,16.1,62.4,0.0,75.21,20.3,63.3,0.0,73.54,16.5,60.9,0.0,70.24,14.3,55.2,1.0,69.69,22.0,52.3,0.4,67.11,16.5,West,Pacific,837442
Fresno,California,36.737798100000006,-119.7871247,490,437,604,616,695,762,683,715,613,635,587,574,50.4,3.0,82.39,20.3,51.6,2.0,70.48,21.4,57.1,2.2,68.13,13.5,64.1,1.5,56.33,12.6,68.9,0.8,51.44,14.5,79.4,0.0,40.63,5.6,85.1,0.0,35.96,9.7,82.8,0.0,41.12,5.9,76.2,0.0,43.96,7.6,65.1,0.1,49.56,9.5,56.6,0.9,64.28,17.4,48.9,0.9,79.07,14.2,West,Pacific,509924
Sacramento,California,38.5815719,-121.4943996,605,626,802,847,925,913,929,884,722,815,724,682,48.3,6.6,88.25,49.4,49.6,4.4,72.51,33.6,54.0,4.3,74.4,37.6,60.0,1.6,67.39,28.2,64.1,1.4,63.16,21.9,73.0,0.0,52.07,5.2,76.6,0.0,48.68,6.3,74.3,0.0,54.47,5.2,70.8,0.0,53.83,7.5,63.1,0.4,51.08,8.7,53.5,1.6,70.2,30.6,47.7,2.1,78.74,32.3,West,Pacific,479686
Long Beach,California,33.770050399999995,-118.1937395,249,251,351,309,368,399,369,386,320,347,294,298,57.7,5.7,67.06,31.7,56.1,3.2,66.91,38.9,60.2,1.3,64.35,33.8,63.4,0.1,62.93,29.1,63.3,0.3,67.77,50.9,67.2,0.0,71.45,51.4,73.1,0.0,68.51,27.9,73.7,0.0,68.95,25.9,72.1,0.0,68.5,28.2,69.4,12.5,58.3,20.0,63.0,1.4,63.9,26.1,57.5,2.1,60.25,20.5,West,Pacific,469428
